player_name,team_tag,season_uvi,ppp,total_pitches,games
Griffin Canning,NYM,131.6,-0.009554993298585258,1343,16
Jonathan Cannon,CWS,36.8,-0.029944770428015566,1799,22
Yennier Cano,BAL,-4.3,-0.03892556552419355,992,65
Joey Cantillo,CLE,143.0,-0.007404113622480148,1637,34
Vinny Capra,CWS,39.4,-0.02938125,32,3
Carlos Carrasco,ATL,-30.5,-0.04436860377358491,265,3
Carlos Carrasco,NYY,65.7,-0.02446515758754864,514,8
Alex Carrillo,NYM,-475.7,-0.14074129761904763,84,3
Ben Casparius,LAD,124.7,-0.011570151878497201,1251,45
Blas Castaño,SEA,30.1,-0.030971,50,1
José Castillo,AZ,-149.6,-0.06965326666666667,105,5
José Castillo,BAL,200.2,0.006637606837606835,117,5
José Castillo,NYM,90.7,-0.018373874100719428,278,16
José Castillo,SEA,226.0,0.014590897959183677,49,3
Luis Castillo,SEA,92.0,-0.016568305220883536,2988,32
Luis F. Castillo,SEA,55.7,-0.02501356804733728,169,2
Miguel Castro,CWS,126.8,-0.010296933333333334,105,6
Willi Castro,MIN,302.9,0.026150000000000007,12,1
Cade Cavalli,WSH,88.3,-0.019086387341772156,790,10
Dylan Cease,SD,94.0,-0.01725068905635649,3052,32
Slade Cecconi,CLE,66.3,-0.023791936684388594,2069,23
Andrew Chafin,LAA,190.3,0.0035661630901287545,233,16
Andrew Chafin,WSH,151.6,-0.0055616272965879265,381,26
Bubba Chandler,PIT,171.7,0.0006971995661605197,461,7
Aroldis Chapman,BOS,176.4,-0.0030832717391304316,920,67
Jesse Chavez,ATL,-73.4,-0.053358549707602336,171,4
Angel Chivilli,COL,60.2,-0.026896020428015564,1028,43
Marc Church,TEX,99.5,-0.01773256565656565,99,5
Aaron Civale,CHC,202.3,0.0035971857142857136,210,5
Aaron Civale,CWS,96.1,-0.01700164900086881,1151,13
Aaron Civale,MIL,13.3,-0.03521319896640827,387,5
Taylor Clarke,KC,152.4,-0.005063261271676302,865,51
Emmanuel Clase,CLE,113.6,-0.013682722811671088,754,48
Garrett Cleavinger,TB,57.8,-0.025222683066361554,874,67
Kody Clemens,MIN,-53.1,-0.049215,20,1
Mike Clevinger,CWS,29.9,-0.03146256140350877,114,8
Luis Contreras,HOU,118.0,-0.013246776785714287,224,9
Roansy Contreras,BAL,105.5,-0.014474760563380287,71,1
Roansy Contreras,COL,148.1,-0.010710126984126985,126,4
