player_name,team_tag,batting_uvi,speed_bonus,hustle_bonus,defense_bonus,burst_bonus,complete_uvi,sprint_speed,bolts,oaa,frp,ppp,total_pitches,games,batted_balls
Liover Peguero,PIT,71.9,3.8,0.0,0.0,-0.2,75.5,29.2,1.0,-1.0,0.0,0.005170554285714284,350,30,54
Johan Rojas,PHI,12.5,5.6,0.0,7.5,-0.3,25.3,30.1,30.0,5.0,5.0,-0.008723100638977636,626,61,118
Spencer Torkelson,DET,154.4,-1.2,0.0,-1.5,0.2,151.9,26.7,0.0,-2.0,-1.0,0.026903645088445616,2657,155,397
Terrin Vavra,BAL,-121.8,0.0,0.0,0.0,0.0,-121.8,,0.0,0.0,0.0,-0.041574999999999994,4,1,1
Justin Foscue,TEX,-35.0,0.0,-0.0,0.0,0.0,-35.0,,0.0,0.0,0.0,-0.021355238095238097,42,4,6
Nick Loftin,KC,94.2,2.2,-0.0,1.5,-0.2,97.7,28.4,0.0,2.0,1.0,0.011467260355029587,676,65,144
Dairon Blanco,KC,163.0,0.0,0.0,0.0,0.0,163.0,,0.0,0.0,0.0,0.028678875000000006,32,5,5
Max Schuemann,ATH,38.9,2.0,0.0,9.0,0.0,49.9,28.3,0.0,8.0,6.0,-0.0023447541766109794,838,75,150
Matt Mclain,CIN,64.2,3.8,-0.0,4.5,-0.3,72.2,29.2,20.0,4.0,3.0,0.00527855682298268,2367,144,347
Dashawn Keirsey,MIN,45.1,2.4,-0.0,1.5,-0.7,48.3,28.5,6.0,2.0,1.0,-0.0005697413793103445,348,36,51
Richie Palacios,TB,79.6,-1.2,0.0,-6.0,0.0,72.4,26.7,0.0,-4.0,-4.0,0.007434294736842105,190,16,34
Jonathan Ornelas,ATL,64.6,-1.6,1.2,-1.5,0.0,62.7,26.5,0.0,-1.0,-1.0,0.004569899999999997,20,1,4
Jonathan Ornelas,TEX,-47.2,-1.6,-2.4,-1.5,0.0,-52.7,26.5,0.0,-1.0,-1.0,-0.024566666666666667,21,4,2
Addison Barger,TOR,123.5,0.8,-0.0,-3.0,-0.3,121.0,27.7,0.0,-3.0,-2.0,0.019415731062531777,1967,134,340
